DeckId;DeckName;DeckNameWithoutSpaces;NameCard;Version;Column1
FOTB;Force of the Breaker;Force-of-the-Breaker;"""A"" Cell Breeding Device";0;null
GLAS;Gladiator's Assault;Gladiator's-Assault;"""A"" Cell Incubator";0;null
INOV;Invasion: Vengeance;Invasion:-Vengeance;"""A"" Cell Recombination Device";0;null
INOV-JP;Invasion: Vengeance (OCG);Invasion:-Vengeance-(OCG);"""A"" Cell Recombination Device";0;null
STON;Strike of Neos;Strike-of-Neos;"""A"" Cell Scatter Burst";0;null
AMDE;Amazing Defenders;Amazing-Defenders;"""Infernoble Arms - Durendal""";0;null
MP21;2021 Tin of Ancient Battles;2021-Tin-of-Ancient-Battles;"""Infernoble Arms - Durendal""";0;null
ROTD;Rise of the Duelist;Rise-of-the-Duelist;"""Infernoble Arms - Durendal""";0;null
MP21;2021 Tin of Ancient Battles;2021-Tin-of-Ancient-Battles;"""Infernoble Arms - Hauteclere""";0;null
ROTD;Rise of the Duelist;Rise-of-the-Duelist;"""Infernoble Arms - Hauteclere""";0;null
MP21;2021 Tin of Ancient Battles;2021-Tin-of-Ancient-Battles;"""Infernoble Arms - Joyeuse""";0;null
ROTD;Rise of the Duelist;Rise-of-the-Duelist;"""Infernoble Arms - Joyeuse""";0;null
DR1;Dark Revelation 1;Dark-Revelation-1;A Cat of Ill Omen;0;null
PGD;Pharaonic Guardian;Pharaonic-Guardian;A Cat of Ill Omen;0;null
SS01;Speed Duel Starter Decks: Destiny Masters;Speed-Duel-Starter-Decks:-Destiny-Masters;A Cat of Ill Omen;0;null
DR1;Dark Revelation 1;Dark-Revelation-1;A Deal with Dark Ruler;0;null
LCJW;Legendary Collection 4: Mega Pack;Legendary-Collection-4:-Mega-Pack;A Deal with Dark Ruler;0;null
DCR;Dark Crisis;Dark-Crisis;A Deal with Dark Ruler (V.1 - Common);1;Common
DCR;Dark Crisis;Dark-Crisis;A Deal with Dark Ruler (V.2 - Common);2;Common
CP03;Champion Pack: Game Three;Champion-Pack:-Game-Three;A Feather of the Phoenix;0;
DR3;Dark Revelation 3;Dark-Revelation-3;A Feather of the Phoenix;0;
LCYW;Legendary Collection 3: Mega Pack;Legendary-Collection-3:-Mega-Pack;A Feather of the Phoenix;0;
LEHD;Legendary Hero Decks;Legendary-Hero-Decks;A Feather of the Phoenix;0;
YSDS;Starter Deck: Syrus;Starter-Deck:-Syrus;A Feather of the Phoenix;0;
FET;Flaming Eternity;Flaming-Eternity;A Feather of the Phoenix (V.1 - Super Rare);1;Super Rare
FET;Flaming Eternity;Flaming-Eternity;A Feather of the Phoenix (V.2 - Ultimate Rare);2;Ultimate Rare
LOD;Legacy of Darkness;Legacy-of-Darkness;A Feint Plan (V.1 - Common);1;Common
LOD;Legacy of Darkness;Legacy-of-Darkness;A Feint Plan (V.2 - Common);2;Common
DP1;Duelist Pack: Jaden Yuki;Duelist-Pack:-Jaden-Yuki;A Hero Emerges;0;
DR2;Dark Revelation 2;Dark-Revelation-2;A Hero Emerges;0;
DT02;Duel Terminal 2;Duel-Terminal-2;A Hero Emerges;0;
SGX1;Speed Duel GX: Duel Academy Box;Speed-Duel-GX:-Duel-Academy-Box;A Hero Emerges;0;
ST14;Starter Deck 2014;Starter-Deck-2014;A Hero Emerges;0;
YS14;Super Starter: Space-Time Showdown;Super-Starter:-Space-Time-Showdown;A Hero Emerges;0;
BP02;Battle Pack 2: War of the Giants;Battle-Pack-2:-War-of-the-Giants;A Hero Emerges (V.1 - Common);1;Common
IOC;Invasion of Chaos;Invasion-of-Chaos;A Hero Emerges (V.1 - Common);1;Common
IOC;Invasion of Chaos;Invasion-of-Chaos;A Hero Emerges (V.2 - Common);2;Common
BP02;Battle Pack 2: War of the Giants;Battle-Pack-2:-War-of-the-Giants;A Hero Emerges (V.2 - Mosaic Rare);2;Mosaic Rare
20AP-2;20th Anniversary Pack 2nd Wave;20th-Anniversary-Pack-2nd-Wave;A Hero Lives;0;
DP23;Duelist Pack: Legend Duelist 6;Duelist-Pack:-Legend-Duelist-6;A Hero Lives;0;
DUSA;Duelist Saga;Duelist-Saga;A Hero Lives;0;
LDS3;Legendary Duelists: Season 3;Legendary-Duelists:-Season-3;A Hero Lives;0;
LED6;Legendary Duelists: Magical Hero;Legendary-Duelists:-Magical-Hero;A Hero Lives;0;
MAMA;Magnificent Mavens;Magnificent-Mavens;A Hero Lives;0;
SD27;Structure Deck: HERO's Strike (OCG);Structure-Deck:-HERO's-Strike-(OCG);A Hero Lives;0;
SDHS;Structure Deck: HERO Strike;Structure-Deck:-HERO-Strike;A Hero Lives;0;
SGX2;Speed Duel GX: Midterm Paradox;Speed-Duel-GX:-Midterm-Paradox;A Hero Lives (V.1 - Common);1;Common
GENF;Generation Force;Generation-Force;A Hero Lives (V.1 - Ultra Rare);1;Ultra Rare
SGX2;Speed Duel GX: Midterm Paradox;Speed-Duel-GX:-Midterm-Paradox;A Hero Lives (V.2 - Secret Rare);2;Secret Rare
GENF;Generation Force;Generation-Force;A Hero Lives (V.2 - Ultimate Rare);2;Ultimate Rare
DB2;Dark Beginning 2;Dark-Beginning-2;A Legendary Ocean;0;
DP18;Duelist Pack: Legend Duelist;Duelist-Pack:-Legend-Duelist;A Legendary Ocean;0;
HL1;Hobby League 1;Hobby-League-1;A Legendary Ocean;0;
LDS1;Legendary Duelists: Season 1;Legendary-Duelists:-Season-1;A Legendary Ocean;0;
LEDU;Legendary Duelists;Legendary-Duelists;A Legendary Ocean;0;
MAMA;Magnificent Mavens;Magnificent-Mavens;A Legendary Ocean;0;
RP02;Retro Pack 2;Retro-Pack-2;A Legendary Ocean;0;
SD4;Structure Deck: Fury From The Deep;Structure-Deck:-Fury-From-The-Deep;A Legendary Ocean;0;
SDRE;Structure Deck: Realm of the Sea Emperor;Structure-Deck:-Realm-of-the-Sea-Emperor;A Legendary Ocean;0;
SGX2;Speed Duel GX: Midterm Paradox;Speed-Duel-GX:-Midterm-Paradox;A Legendary Ocean;0;
DR02;Duel Royale Deck Set EX Round 2;Duel-Royale-Deck-Set-EX-Round-2;A Legendary Ocean (V.1 - Common);1;Common
LOD;Legacy of Darkness;Legacy-of-Darkness;A Legendary Ocean (V.1 - Common);1;Common
LOD;Legacy of Darkness;Legacy-of-Darkness;A Legendary Ocean (V.2 - Common);2;Common
DR02;Duel Royale Deck Set EX Round 2;Duel-Royale-Deck-Set-EX-Round-2;A Legendary Ocean (V.2 - Super Rare);2;Super Rare
ANPR;Ancient Prophecy;Ancient-Prophecy;A Major Upset;0;
SBSC;Speed Duel: Scars of Battle;Speed-Duel:-Scars-of-Battle;A Major Upset;0;
DR1;Dark Revelation 1;Dark-Revelation-1;A Man with Wdjat;0;
PGD;Pharaonic Guardian;Pharaonic-Guardian;A Man with Wdjat;0;
CRV;Cybernetic Revolution;Cybernetic-Revolution;A Rival Appears!;0;
LED7;Legendary Duelists: Rage of Ra;Legendary-Duelists:-Rage-of-Ra;A Wild Monster Appears!;0;
