Deck,Title,LowerPrice,DateTime
LCKC,A-Assault Core,"0,40 €",2023-03-02
SDKS,A-Assault Core,"0,05 €",2023-03-02
LVP3,A-Assault Core,"0,10 €",2023-03-02
SDKS-JP,A-Assault Core,,2023-03-02
Deck,Title,LowerPrice,DateTime
PHHY,Abyss Actors' Dress Rehersal,"0,02 €",2023-03-02
PHHY,Abyss Actor - Super Producer,"0,02 €",2023-03-02
PHHY,Abyss Script - Dramatic Story,"0,02 €",2023-03-02
PHHY,Abyss Actor - Liberty Dramatist,"0,02 €",2023-03-02
OP20,Abyss Dweller,"0,20 €",2023-03-02
LED9,Abyss Shark,"4,49 €",2023-03-02
TAMA,Absolute King Back Jack,"0,02 €",2023-03-02
DUOV,Abyss Actor - Hyper Director,"0,02 €",2023-03-02
DUDE,Abyss Dweller,"0,60 €",2023-03-02
OP21,Abyss Actor - Curtain Raiser,"0,05 €",2023-03-02
MP22,Abyss Keeper,"0,02 €",2023-03-02
LDS2,Abyss Actor - Mellow Madonna,"0,02 €",2023-03-02
BLLR,Abyss Script - Abysstainment,"0,02 €",2023-03-02
LDS2,Abyss Actor - Wild Hope,"0,02 €",2023-03-02
LDS2,Abyss Actor - Comic Relief,"0,02 €",2023-03-02
LED3,Abyss Actor - Superstar,"0,02 €",2023-03-02
LDS2,Abyss Actor - Extras,"0,02 €",2023-03-02
IGAS,Abominable Unchained Soul,"0,10 €",2023-03-02
DESO,Abyss Actor - Sassy Rookie,"0,02 €",2023-03-02
SDRR,Absorouter Dragon,"0,75 €",2023-03-02
BLCR,Accesscode Talker (V.1 - Secret Rare),"27,50 €",2023-03-02
MP21,Achichi @Ignister,"0,03 €",2023-03-02
MGED,Accesscode Talker,"26,99 €",2023-03-02
CDIP,Accumulated Fortune,"0,02 €",2023-03-02
LED3,Accellight,"0,02 €",2023-03-02
LDS3,Accel Synchron,"0,02 €",2023-03-02
LED6,Accel Synchron,"0,02 €",2023-03-02
SDSE,Accel Synchron,"0,02 €",2023-03-02
HC01,Accesscode Talker (V.1 - Parallel Rare),"3,99 €",2023-03-02
SDD,Acid Trap Hole,"0,02 €",2023-03-02
SS01,A Cat of Ill Omen,"0,02 €",2023-03-02
ETCO,Accesscode Talker,"33,00 €",2023-03-02
CHIM,Action Magic - Full Turn,"0,02 €",2023-03-02
ZTIN,Accellight,"0,03 €",2023-03-02
DR1,A Cat of Ill Omen,"0,05 €",2023-03-02
FOTB,"""A"" Cell Breeding Device","0,02 €",2023-03-02
MIL1,Acid Trap Hole,"0,02 €",2023-03-02
IGAS,Achichi @Ignister,"1,39 €",2023-03-02
SOI,Acid Trap Hole (V.1 - Ultra Rare),"0,03 €",2023-03-02
CHIM,Action Magic - Double Banking,"0,02 €",2023-03-02
BLCR,Advanced Crystal Beast Cobalt Eagle,"0,10 €",2023-03-02
BLCR,Advanced Crystal Beast Ruby Carbuncle,"0,07 €",2023-03-02
BLCR,Advanced Crystal Beast Sapphire Pegasus,"0,20 €",2023-03-02
BLCR,Advanced Crystal Beast Amethyst Cat,"0,03 €",2023-03-02
MP21,Adamancipator Risen - Dragite,"0,02 €",2023-03-02
BLCR,Advanced Crystal Beast Topaz Tiger,"0,03 €",2023-03-02
BLCR,Advanced Crystal Beast Emerald Tortoise,"0,02 €",2023-03-02
BLCR,Advanced Crystal Beast Amber Mammoth,"0,02 €",2023-03-02
MP22,Ad Libitum of Despia,"0,02 €",2023-03-02
GFP2,Advanced Ritual Art,"0,02 €",2023-03-02
BODE,Ad Libitum of Despia,"0,10 €",2023-03-02
BLCR,Advanced Dark,"0,02 €",2023-03-02
MP21,Adamancipator Researcher,"0,19 €",2023-03-02
SESL,Adamancipator Risen - Dragite,"1,90 €",2023-03-02
MP21,Adamancipator Signs,"0,05 €",2023-03-02
MP21,Adamancipator Analyzer,"0,02 €",2023-03-02
MP21,Adamancipator Seeker,"0,02 €",2023-03-02
MP21,Adamancipator Friends,"0,02 €",2023-03-02
MP21,Adamancipator Risen - Leonite,"0,02 €",2023-03-02
MP21,Adamancipator Risen - Raptite,"0,02 €",2023-03-02
DAMA,Aeropixthree,"0,02 €",2023-03-02
BOSH,Aegaion the Sea Castrum,"0,02 €",2023-03-02
CT13,"Aether, the Evil Empowering Dragon","0,02 €",2023-03-02
ANPR,Aegis of the Ocean Dragon Lord,"0,02 €",2023-03-02
LTGY,Aerial Recharge,"0,02 €",2023-03-02
YS14,"Aether, the Empowering Dragon","0,02 €",2023-03-02
GLD3,Aegis of Gaia,"0,02 €",2023-03-02
MP22,Aeropixthree,"0,02 €",2023-03-02
DEM3,"Aether, the Empowering Dragon","0,02 €",2023-03-02
SDRE,Aegis of the Ocean Dragon Lord,"0,02 €",2023-03-02
MP16,Aegaion the Sea Castrum,"0,02 €",2023-03-02
MP14,Aerial Recharge,"0,02 €",2023-03-02
BOSH-JP,Aegaion the Sea Castrum,"0,15 €",2023-03-02
STON,Aegis of Gaia,"1,30 €",2023-03-02
LVP3,Aerial Recharge,"0,08 €",2023-03-02
DAMA-JP,Aeropixthree,"0,10 €",2023-03-02
ST14,"Aether, the Empowering Dragon",,2023-03-02
CORE-JP,"Aether, the Evil Empowering Dragon",,2023-03-02
BLAR,Afterglow,"0,02 €",2023-03-02
LEHD,A Feather of the Phoenix,"0,02 €",2023-03-02
FET,A Feather of the Phoenix (V.1 - Super Rare),"0,04 €",2023-03-02
LOD,A Feint Plan (V.1 - Common),"0,02 €",2023-03-02
YSDS,A Feather of the Phoenix,"0,02 €",2023-03-02
LCYW,A Feather of the Phoenix,"0,49 €",2023-03-02
CBLZ,After the Storm,"0,02 €",2023-03-02
LOD,After the Struggle (V.1 - Rare),"0,04 €",2023-03-02
DB2,After the Struggle,"0,02 €",2023-03-02
FET,A Feather of the Phoenix (V.2 - Ultimate Rare),"4,00 €",2023-03-02
CP03,A Feather of the Phoenix,"0,19 €",2023-03-02
DR3,A Feather of the Phoenix,"0,49 €",2023-03-02
LOD,A Feint Plan (V.2 - Common),"0,05 €",2023-03-02
CP20,Afterglow,"0,03 €",2023-03-02
LOD,After the Struggle (V.2 - Rare),"3,00 €",2023-03-02
MAMA,Agido the Ancient Sentinel,"0,75 €",2023-03-02
SOFU,Agave Dragon,"0,02 €",2023-03-02
MP19,Agave Dragon,"0,02 €",2023-03-02
DCR,Agido (V.1 - Common),"0,02 €",2023-03-02
RGBT,Against the Wind,"0,02 €",2023-03-02
DP11,Against the Wind,"0,02 €",2023-03-02
DR1,Agido,"0,02 €",2023-03-02
WCS,"Aggiba, the Malevolent Sh'nn S'yo (V.1 - Special)",,2023-03-02
OP20,Against the Wind,"0,04 €",2023-03-02
SOFU-JP,Agave Dragon,"0,20 €",2023-03-02
WCS,"Aggiba, the Malevolent Sh'nn S'yo (V.2 - Special)","400,00 €",2023-03-02
DCR,Agido (V.2 - Common),"0,02 €",2023-03-02
DP27,Agido the Ancient Sentinel (V.2 - Secret Rare),"19,44 €",2023-03-02
DP27,Agido the Ancient Sentinel (V.1 - Super Rare),"1,80 €",2023-03-02
MAMA,A Hero Lives,"0,02 €",2023-03-02
SGX2,A Hero Lives (V.2 - Secret Rare),"0,98 €",2023-03-02
EGS1,"Ahrima, the Wicked Warden","0,02 €",2023-03-02
LED6,A Hero Lives,"0,02 €",2023-03-02
LDS3,A Hero Lives,"0,02 €",2023-03-02
SR06,"Ahrima, the Wicked Warden","0,04 €",2023-03-02
