expid;expname;nCardsexp;dataexp;
YS15;2-Player Starter Deck Yuya & Declan;42 Cards;28th May;2015
ZTIN;2013 Zexal Collection Tin;24 Cards;1st March;2013
CT11;2014 Mega-Tins;6 Cards;28th August;2014
MP14;2014 Mega-Tins Mega-Pack;247 Cards;28th August;2014
MP15;2015 Mega-Tin Mega Pack;247 Cards;17th September;2015
CT12;2015 Mega-Tins;6 Cards;17th September;2015
MP16;2016 Mega-Tin Mega Pack;239 Cards;1st September;2016
CT13;2016 Mega-Tins;12 Cards;1st September;2016
MP17;2017 Mega-Tin Mega Pack;239 Cards;24th August;2017
CT14;2017 Mega-Tins;10 Cards;24th August;2017
MP18;2018 Mega-Tin Mega Pack;233 Cards;30th August;2018
CT15;2018 Mega-Tins;10 Cards;30th August;2018
TN19;2019 Gold Sarcophagus Tin;14 Cards;29th August;2019
MP19;2019 Gold Sarcophagus Tin Mega Pack;270 Cards;29th August;2019
TN20;2020 Tin of Lost Memories;0 Cards;27th August;2020
MP20;2020 Tin of Lost Memories Mega Pack;249 Cards;27th August;2020
MP21;2021 Tin of Ancient Battles;258 Cards;30th September;2021
MP22;2022 Tin of the Pharaoh's Gods;275 Cards;15th September;2022
20TH-JPB;20th Anniversary Duelist Box;50 Cards;22nd December;2018
20TH-C;20th Anniversary Legend Collection;200 Cards;9th February;2019
WP01;20th Anniversary Legend Selection;3 Cards;28th March;2020
VP18;20th Anniversary Legendary Dragons;4 Cards;21st May;2018
20AP-1;20th Anniversary Pack 1st Wave;51 Cards;17th December;2016
20AP-2;20th Anniversary Pack 2nd Wave;51 Cards;11th February;2017
VP19;20th Anniversary Secret Selection;3 Cards;1st August;2019
20TH-S;20th Anniversary Set;1 Cards;18th August;2018
VP15;20th Legendary Collection;5 Cards;28th May;2015
VP16;20th Rival Collection;4 Cards;21st July;2016
20CP-JPC;20th Secret Rare Challenge Pack;10 Cards;20th February;2019
20CP-JPF;20th Secret Rare Final Challenge Pack;20 Cards;11th January;2020
20CP-JPS;20th Secret Rare Special Pack;10 Cards;9th February;2019
25TH;25th Anniversary;0 Cards;13th July;2023
YMP1;3D Bonds Beyond Time Movie Pack;11 Cards;1st February;2011
YDT1;5D's Duel Transer Promotional Cards;6 Cards;1st December;2010
YF0X;5D's Manga Promos;9 Cards;1st June;2011
WC11;5D's Over the Nexus Promotional Cards;6 Cards;1st April;2011
WC10;5D's Reverse of Arcadia Promotional Cards;7 Cards;1st April;2010
WC09;5D's Stardust Accelerator Promotional Cards;6 Cards;1st April;2009
TF04;5D's Tag Force 4 Promotional Cards;6 Cards;1st November;2009
TF05;5D's Tag Force 5 Promotional Cards;6 Cards;1st October;2010
ABPF;Absolute Powerforce;115 Cards;1st February;2010
ABPF-JP;Absolute Powerforce (Japanese);0 Cards;14th November;2009
ABYR;Abyss Rising;116 Cards;1st November;2012
ABYR-JP;Abyss Rising (Japanese);0 Cards;21st July;2012
DEM4;Advanced Demo Deck Extra Pack;10 Cards;6th January;2018
AC11;Advent Calendar 2011;24 Cards;1st October;2011
AC14;Advent Calendar 2014;24 Cards;16th October;2014
AC18;Advent Calendar 2018;24 Cards;25th October;2018
AC19;Advent Calendar 2019;24 Cards;26th September;2019
302;Advent of Union;0 Cards;18th July;2002
AMDE;Amazing Defenders;75 Cards;19th January;2023
ANGU;Ancient Guardians;75 Cards;6th May;2021
ANPR;Ancient Prophecy;115 Cards;1st September;2009
ANPR-JP;Ancient Prophecy (Japanese);0 Cards;18th April;2009
AST;Ancient Sanctuary;112 Cards;1st May;2004
AC01;Animation Chronicle 2021;98 Cards;12th June;2021
AC02;Animation Chronicle 2022;98 Cards;11th June;2022
YAP1;Anniversary Pack;9 Cards;1st December;2008
YAXX;ARC-V Manga Promos;7 Cards;6th April;2014
AP08;Astral Pack Eight;27 Cards;23rd October;2015
AP05;Astral Pack Five;26 Cards;31st July;2014
AP04;Astral Pack Four;26 Cards;5th February;2014
AP01;Astral Pack One;25 Cards;1st December;2012
AP07;Astral Pack Seven;27 Cards;4th June;2015
AP06;Astral Pack Six;28 Cards;12th December;2014
AP03;Astral Pack Three;26 Cards;13th September;2013
AP02;Astral Pack Two;25 Cards;1st April;2013
BNZ;Banzai Promos!;2 Cards;1st December;2000
BACH;Battle of Chaos;107 Cards;10th February;2022
BACH-JP;Battle of Chaos (OCG);127 Cards;16th October;2021
BP02;Battle Pack 2: War of the Giants;427 Cards;1st June;2013
BPW2;Battle Pack 2: War of the Giants - Round 2;103 Cards;17th January;2014
BP03;Battle Pack 3: Monster League;457 Cards;1st August;2014
BATT;Battle Pack Tournament Prize Cards;20 Cards;1st May;2012
BP01;Battle Pack: Epic Dawn;440 Cards;1st May;2012
BLAR;Battles of Legend: Armageddon;94 Cards;23rd July;2020
BLCR;Battles of Legend: Crystal Revenge;107 Cards;17th November;2022
BLHR;Battles of Legend: Hero's Revenge;94 Cards;11th July;2019
BLLR;Battles of Legend: Light's Revenge;80 Cards;6th July;2017
BLMR;Battles of Legend: Monstrous Revenge;0 Cards;22nd June;2023
BLRR;Battles of Legend: Relentless Revenge;105 Cards;28th June;2018
BE1;Beginner's Edition 1;0 Cards;24th June;2004
BE01;Beginner's Edition 1 (2011);0 Cards;14th May;2011
BE2;Beginner's Edition 2;0 Cards;9th December;2004
BE02;Beginner's Edition 2 (2011);0 Cards;13th August;2011
BP1;Beginners Pack;0 Cards;5th February;2004
BLVO;Blazing Vortex;106 Cards;4th February;2021
BLVO-JP;Blazing Vortex (OCG);126 Cards;23rd October;2020
BC;Booster Chronicle;0 Cards;30th August;2001
BPT-1;Booster Pack Collectors Tin 2003;0 Cards;16th January;2003
BPT-2;Booster Pack Collectors Tin 2004;0 Cards;21st January;2004
BPT-JP3;Booster Pack Collectors Tin 2005;0 Cards;20th January;2005
BPT-JP4;Booster Pack Collectors Tin 2006;0 Cards;19th January;2006
BPCT;Booster Pack Collectors Tin 2007;0 Cards;18th January;2007
BPT;Booster Pack Tin;12 Cards;4th October;2002
SPDS;Booster SP: Destiny Soldiers;75 Cards;6th August;2016
SPFE;Booster SP: Fusion Enforcers;75 Cards;12th November;2016
SPHR;Booster SP: Highspeed Riders;75 Cards;22nd August;2015
SPRG;Booster SP: Raging Masters;102 Cards;9th August;2014
SPTR;Booster SP: Tribe Force;102 Cards;11th October;2014
SPWR;Booster SP: Wing Raiders;75 Cards;14th November;2015
BOSH;Breakers of Shadow;105 Cards;14th January;2016
BOSH-JP;Breakers of Shadow (OCG);103 Cards;17th October;2015
BROL;Brothers of Legend;95 Cards;2nd December;2021
BODE;Burst of Destiny;106 Cards;4th November;2021
BODE-JP;Burst of Destiny (OCG);127 Cards;17th July;2021
